id,restaurant_name,website_url,city,country,cuisine_type,price_range,rating,review_count,address,phone,latitude,longitude,menu_url_count,menu_urls,menu_types,best_extraction_confidence,total_items_extracted,last_crawled,data_source,has_menu_data,export_date
db_71,Momiji Sushi,https://www.momijisushi-denhaag.nl/,The Hague,Netherlands,Unknown,Unknown,,,,,,,21,https://www.momijisushi-denhaag.nl/; https://www.momijisushi-denhaag.nl/menu/; https://www.momijisushi-denhaag.nl/menu; https://www.momijisushi-denhaag.nl/menukaart/; https://www.momijisushi-denhaag.nl/menukaart; https://www.momijisushi-denhaag.nl/lunch/; https://www.momijisushi-denhaag.nl/lunch; https://www.momijisushi-denhaag.nl/dinner/; https://www.momijisushi-denhaag.nl/dinner; https://www.momijisushi-denhaag.nl/food/; https://www.momijisushi-denhaag.nl/eten/; https://www.momijisushi-denhaag.nl/dranken/; https://www.momijisushi-denhaag.nl/drinks/; https://www.momijisushi-denhaag.nl/kaart/; https://www.momijisushi-denhaag.nl/spijskaart/; https://www.momijisushi-denhaag.nl/carte/; https://www.momijisushi-denhaag.nl/#cat11; https://www.momijisushi-denhaag.nl/#cat14; https://www.momijisushi-denhaag.nl/#cat19; https://www.momijisushi-denhaag.nl/#cat21; https://www.momijisushi-denhaag.nl/#cat22,html; html; html; html; html; html; html; html; html; html; html; html; html; html; html; html; html; html; html; html; html,,7901,2025-07-29 20:02:53,database_with_menus,True,2025-08-06T20:04:50.275651
db_68,Pyramide,https://www.telefoonboek.nl/zoeken/restaurant-pyramide/den-haag/,The Hague,Netherlands,Unknown,Unknown,,,,,,,129,https://www.telefoonboek.nl/bedrijven/t2150175/stadskanaal/grillhouse-pyramide/; https://www.telefoonboek.nl/bedrijven/t4848408/buitenpost/pyramide-buitenpost/; https://www.telefoonboek.nl/zoeken/restaurant-pyramide/storechain=plaza-food-for-all/; https://www.telefoonboek.nl/zoeken/restaurant-pyramide/storechain=happy-food/; https://www.telefoonboek.nl/zoeken/restaurant-pyramide/maincategory=recreatie/; https://www.telefoonboek.nl/zoeken/restaurant-pyramide/maincategory=groothandel-in-dranken/; https://www.telefoonboek.nl/zoeken/ontbijtservice/; https://www.telefoonboek.nl/zoeken/dranken/; https://www.telefoonboek.nl/zoeken/ontbijtservice/rotterdam/; https://www.telefoonboek.nl/zoeken/dranken/rotterdam/; https://www.telefoonboek.nl/bedrijven/t8680558/den-haag/oztoprak-food/; https://www.telefoonboek.nl/zoeken/ontbijtservice/den-haag/; https://www.telefoonboek.nl/zoeken/dranken/den-haag/; https://www.telefoonboek.nl/zoeken/ontbijtservice/rijswijk-zuid-holland/; https://www.telefoonboek.nl/zoeken/dranken/rijswijk-zuid-holland/; https://www.telefoonboek.nl/bedrijven/t4270198/den-haag/delhi-darbar-tandoori-restaurant/; https://www.telefoonboek.nl/bedrijven/t3558912/den-haag/restaurant-carmil/; https://www.telefoonboek.nl/bedrijven/t4135760/den-haag/thais-restaurant-thong-kham/; https://www.telefoonboek.nl/bedrijven/t3783373/den-haag/chinees-indisch-surinaams-restaurant-kang-man/; https://www.telefoonboek.nl/bedrijven/t3802512/den-haag/chinees-specialiteiten-restaurant-ruby/; https://www.telefoonboek.nl/bedrijven/t4248078/den-haag/restaurant-lees-garden/; https://www.telefoonboek.nl/bedrijven/t2671871/den-haag/grillrestaurant-harput/; https://www.telefoonboek.nl/bedrijven/t2675357/den-haag/midnight-roti-company/; https://www.telefoonboek.nl/bedrijven/t4948983/den-haag/leon-gyros/; https://www.telefoonboek.nl/bedrijven/t4277374/den-haag/baladi-manouche/; https://www.telefoonboek.nl/bedrijven/t4345746/den-haag/javaans-eethuisjekooklokaal-tante-pop/; https://www.telefoonboek.nl/bedrijven/t5036197/voorburg/five-flavors/; https://www.telefoonboek.nl/zoeken/restaurant-pyramide/den-haag/storechain=plaza-food-for-all/; https://www.telefoonboek.nl/zoeken/restaurant-pyramide/den-haag/maincategory=groothandel-in-dranken/; https://www.telefoonboek.nl/bedrijven/t2672233/rijswijk-zuid-holland/restaurant-la-fontaine/; https://www.telefoonboek.nl/bedrijven/t4414852/rijswijk-zuid-holland/restaurant-made-in-italy/; https://www.telefoonboek.nl/bedrijven/t4819277/rijswijk-zuid-holland/istanbul-restaurant/; https://www.telefoonboek.nl/bedrijven/t2672264/rijswijk-zuid-holland/restaurant-indonesisch-tjendrawasih/; https://www.telefoonboek.nl/bedrijven/t4169604/rijswijk-zuid-holland/royal-pizza/; https://www.telefoonboek.nl/bedrijven/t7786768/rijswijk-zuid-holland/toros-argentinos/; https://www.telefoonboek.nl/bedrijven/t4379165/rijswijk-zuid-holland/grannys-food/; https://www.telefoonboek.nl/bedrijven/t2711678/rijswijk-zuid-holland/brasserie-peverelli-b.v./; https://www.telefoonboek.nl/zoeken/restaurant-pyramide/den-haag/maincategory=recreatie/; https://www.telefoonboek.nl/bedrijven/t2002931/rotterdam/fresh-food-beiroet/; https://www.telefoonboek.nl/bedrijven/t3830588/rotterdam/rafoods/; https://www.telefoonboek.nl/bedrijven/t3527172/amsterdam/the-fish-club-kijkduin-b.v./; https://www.telefoonboek.nl/bedrijven/t3548291/amsterdam/royal-fook-long/; https://www.telefoonboek.nl/bedrijven/t4604109/amsterdam/sizz/; https://www.telefoonboek.nl/bedrijven/t4601097/den-haag/foodnext-bv/; https://www.telefoonboek.nl/bedrijven/t4081769/den-haag/covered-by-linda/; https://www.telefoonboek.nl/bedrijven/t2715862/rijswijk-zuid-holland/leijgraaff-&-leijgraaff-org.-serv.&catering/; https://www.telefoonboek.nl/bedrijven/t3754167/den-haag/ijssalon-en-lunchroom-gamba/; https://www.telefoonboek.nl/bedrijven/t4263379/den-haag/party-centrum-ons-huis/; https://www.telefoonboek.nl/bedrijven/t2685127/den-haag/horeca-exploitatie-maatschappij-berlage-b.v./; https://www.telefoonboek.nl/bedrijven/t2691392/delft/de-brasserij-partycentrum/; https://www.telefoonboek.nl/bedrijven/t4046171/delft/cafe-einstein/; https://www.telefoonboek.nl/bedrijven/t2702696/monster/horecabedrijf-de-noviteit-b.v./; https://www.telefoonboek.nl/bedrijven/t3493490/den-haag/cafe-locus/; https://www.telefoonboek.nl/bedrijven/t3828376/den-haag/cafe-duijnstee/; https://www.telefoonboek.nl/bedrijven/t2708654/den-haag/cafe-restaurant-ovunc/; https://www.telefoonboek.nl/zoeken/cafe/den-haag/maincategory=groothandel-in-dranken/; https://www.telefoonboek.nl/bedrijven/t2048756/den-haag/ontbijtje/; https://www.telefoonboek.nl/bedrijven/t8101801/den-haag/ontbijtservice-delphy-t.h.o.d.n.-ontbijtservice/; https://www.telefoonboek.nl/bedrijven/t3514945/den-haag/ontbijtservice-b.v./; https://www.telefoonboek.nl/bedrijven/t8318203/zoetermeer/ontbijtservice-verpakkingen-b.v./; https://www.telefoonboek.nl/bedrijven/t2710098/ulicoten/0174-catering/; https://www.telefoonboek.nl/bedrijven/t3591756/rijswijk-zuid-holland/warme-bakker-korst-v.o.f./; https://www.telefoonboek.nl/zoeken/ontbijtservice/den-haag/storechain=ontbijtje/; https://www.telefoonboek.nl/zoeken/ontbijtservice/den-haag/maincategory=ontbijtservice/; https://www.telefoonboek.nl/zoeken/ontbijtservice/den-haag/maincategory=recreatie/; https://www.telefoonboek.nl/bedrijven/t2050326/den-haag/de-wereld-van-dranken-wijnhandel-slijterij-caves-hubert/; https://www.telefoonboek.nl/bedrijven/t2050322/den-haag/de-wereld-van-dranken-slijterij-v&v/; https://www.telefoonboek.nl/bedrijven/t9575665/den-haag/dranken-nl/; https://www.telefoonboek.nl/bedrijven/t4484998/den-haag/alpes-zh/; https://www.telefoonboek.nl/bedrijven/t8505408/den-haag/ufie-dranken-b.v./; https://www.telefoonboek.nl/bedrijven/t4126545/den-haag/pavie-wines-&-gifts/; https://www.telefoonboek.nl/bedrijven/t2689013/den-haag/schouten-wijn-en-gedistilleerd-import-b.v./; https://www.telefoonboek.nl/bedrijven/t3746133/den-haag/bio-foodie-b.v./; https://www.telefoonboek.nl/bedrijven/t3633694/den-haag/cafetaria-oostbroek/; https://www.telefoonboek.nl/bedrijven/t3834768/den-haag/wijnen-uit-de-elzas/; https://www.telefoonboek.nl/bedrijven/t4405121/den-haag/quench/; https://www.telefoonboek.nl/bedrijven/t4986119/den-haag/sheez/; https://www.telefoonboek.nl/bedrijven/t2679366/den-haag/drankenhandel-drimo-express/; https://www.telefoonboek.nl/zoeken/dranken/den-haag/storechain=de-wereld-van-dranken/; https://www.telefoonboek.nl/zoeken/dranken/den-haag/maincategory=groothandel-in-dranken/; https://www.telefoonboek.nl/zoeken/dranken/den-haag/maincategory=dranken/; https://www.telefoonboek.nl/zoeken/dranken/delft/; https://www.telefoonboek.nl/zoeken/dranken/voorburg/; https://www.telefoonboek.nl/zoeken/dranken/leidschendam/; https://www.telefoonboek.nl/zoeken/dranken/nootdorp/; https://www.telefoonboek.nl/zoeken/dranken/monster/; https://www.telefoonboek.nl/zoeken/dranken/wateringen/; https://www.telefoonboek.nl/zoeken/dranken/wassenaar/; https://www.telefoonboek.nl/zoeken/groothandel-in-dranken/den-haag/; https://www.telefoonboek.nl/zoeken/theater/den-haag/; https://www.telefoonboek.nl/bedrijven/t3611409/den-haag/maroliva-food/; https://www.telefoonboek.nl/bedrijven/t4990934/den-haag/tomasz-groothandel-import-en-export-b.v./; https://www.telefoonboek.nl/bedrijven/t2703325/den-haag/l.a.-american-food/; https://www.telefoonboek.nl/bedrijven/t4330688/den-haag/alston-foods-b.v/; https://www.telefoonboek.nl/bedrijven/t4827080/den-haag/nesia-food/; https://www.telefoonboek.nl/bedrijven/t4380903/den-haag/toko-nusantara/; https://www.telefoonboek.nl/bedrijven/t4311564/den-haag/tropa-cafe-b.v./; https://www.telefoonboek.nl/bedrijven/t4206725/den-haag/arris-food-b.v./; https://www.telefoonboek.nl/zoeken/voedingsmiddelen/den-haag/maincategory=groothandel-in-dranken/; https://www.telefoonboek.nl/bedrijven/t2675417/den-haag/boulevard-hotel-scheveningen/; https://www.telefoonboek.nl/zoeken/hotel/den-haag/maincategory=bed-and-breakfast/; https://www.telefoonboek.nl/bedrijven/t2033247/delft/keuken-kampioen/; https://www.telefoonboek.nl/bedrijven/t4262186/den-haag/de-peper-authentieke-thaise-keuken/; https://www.telefoonboek.nl/bedrijven/t3563373/den-haag/restaurant-symbiose/; https://www.telefoonboek.nl/bedrijven/t3449915/den-haag/restaurant-nurzadem/; https://www.telefoonboek.nl/zoeken/restaurant/den-haag/maincategory=groothandel-in-dranken/; https://www.telefoonboek.nl/bedrijven/t4118598/den-haag/snackbar-het-hobbetje/; https://www.telefoonboek.nl/bedrijven/t4961955/den-haag/snackbar-snoepy/; https://www.telefoonboek.nl/bedrijven/t4329083/den-haag/pizzeria-manhattan/; https://www.telefoonboek.nl/bedrijven/t3746717/den-haag/cafetaria-de-smikkelkoning/; https://www.telefoonboek.nl/bedrijven/t3158187/den-haag/lunchroom-&-banketbakkerij-bab-mansour/; https://www.telefoonboek.nl/bedrijven/t2701480/den-haag/roti-center-ypenburg/; https://www.telefoonboek.nl/zoeken/snackbar/den-haag/storechain=foodmaster/; https://www.telefoonboek.nl/zoeken/snackbar/den-haag/storechain=verhage-fast-food/; https://www.telefoonboek.nl/bedrijven/t4907147/den-haag/vincenzos-b.v./; https://www.telefoonboek.nl/bedrijven/t4973659/den-haag/la-piazzetta-di-lauro/; https://www.telefoonboek.nl/bedrijven/t3151564/den-haag/la-cantina-di-pierino/; https://www.telefoonboek.nl/bedrijven/t4539320/den-haag/ristorante-pizzeria-lanterna/; https://www.telefoonboek.nl/bedrijven/t3744703/den-haag/sapore-den-haag/; https://www.telefoonboek.nl/bedrijven/t4405279/den-haag/bacco-perbacco/; https://www.telefoonboek.nl/bedrijven/t4754818/den-haag/papas-kitchen-and-drinks/; https://www.telefoonboek.nl/bedrijven/t4564564/den-haag/ristorante-pizzeria-lanterna/; https://www.telefoonboek.nl/bedrijven/t4776465/den-haag/burrata-turfmarkt-b.v./; https://www.telefoonboek.nl/bedrijven/t4939648/den-haag/supermarkt-lazo/; https://www.telefoonboek.nl/bedrijven/t2695523/den-haag/i-fiori/; https://www.telefoonboek.nl/bedrijven/t2728979/den-haag/eddy-stikkelorum/; https://www.telefoonboek.nl/bedrijven/t4479901/den-haag/cafe-kees/; https://www.telefoonboek.nl/bedrijven/t4833441/den-haag/kees-zegers-theatertechniek/; https://www.telefoonboek.nl/bedrijven/t4250725/den-haag/l-ocean-atlantique/,html; html; html; html; html; html; html; html; html; html; html; html; html; html; html; html; html; html; html; html; html; html; html; html; html; html; html; html; html; html; html; html; html; html; html; html; html; html; html; html; html; html; html; html; html; html; html; html; html; html; html; html; html; html; html; html; html; html; html; html; html; html; html; html; html; html; html; html; html; html; html; html; html; html; html; html; html; html; html; html; html; html; html; html; html; html; html; html; html; html; html; html; html; html; html; html; html; html; html; html; html; html; html; html; html; html; html; html; html; html; html; html; html; html; html; html; html; html; html; html; html; html; html; html; html; html; html; html; html,,4056,2025-07-29 20:02:53,database_with_menus,True,2025-08-06T20:04:50.275671
db_77,Leopold,https://www.caferestaurantleopold.nl/,The Hague,Netherlands,Unknown,Unknown,,,,,,,10,https://www.caferestaurantleopold.nl/#tab-1521018379805-2-10; https://www.caferestaurantleopold.nl/#tab-1525260661151-4-5; https://www.caferestaurantleopold.nl/#tab-1600940039551-0-6; https://www.caferestaurantleopold.nl/#tab-1600967915598-3-10; https://www.caferestaurantleopold.nl/#tab-1548931627625-0-7; https://www.caferestaurantleopold.nl/#tab-1548931630113-0-0; https://www.caferestaurantleopold.nl/#tab-1600967887082-0-1; https://www.caferestaurantleopold.nl/#tab-1615902065908-3-0; https://www.caferestaurantleopold.nl/#menu; https://www.caferestaurantleopold.nl/,html; html; html; html; html; html; html; html; html; html,,3300,2025-07-29 20:02:53,database_with_menus,True,2025-08-06T20:04:50.275675
db_66,Olympia,https://www.olympiarijswijk.nl/,The Hague,Netherlands,Unknown,Unknown,,,,,,,9,https://olympiarijswijk.sitedish.shop/#menu; https://olympiarijswijk.sitedish.shop/#categorie1; https://olympiarijswijk.sitedish.shop/#categorie2; https://olympiarijswijk.sitedish.shop/#categorie6; https://olympiarijswijk.sitedish.shop/#categorie7; https://olympiarijswijk.sitedish.shop/#categorie8; https://olympiarijswijk.sitedish.shop/#categorie9; https://olympiarijswijk.sitedish.shop/#categorie10; https://olympiarijswijk.sitedish.shop/#categorie14,html; html; html; html; html; html; html; html; html,,1246,2025-07-29 20:02:53,database_with_menus,True,2025-08-06T20:04:50.275679
db_90,Restaurant Elea,https://restaurantelea.nl/,The Hague,Netherlands,Unknown,Unknown,,,,,,,7,https://restaurantelea.nl/menukaart/; https://restaurantelea.nl/#tab-1752931490812-10; https://restaurantelea.nl/wijnkaart/; https://restaurantelea.nl/menu/; https://restaurantelea.nl/menu; https://restaurantelea.nl/menukaart; https://restaurantelea.nl/,html; html; html; html; html; html; html,,673,2025-07-29 20:02:53,database_with_menus,True,2025-08-06T20:04:50.275683
db_51,Blue Lagoon,https://www.bluelagoon.nl/,The Hague,Netherlands,Unknown,Unknown,,,,,,,5,https://www.bluelagoon.nl/; https://www.bluelagoon.nl/menu/; https://www.bluelagoon.nl/menu; https://www.bluelagoon.nl/menukaart/; https://www.bluelagoon.nl/menukaart,html; html; html; html; html,0.674251497005988,651,2025-07-29 20:02:53,database_with_menus,True,2025-08-06T20:04:50.275687
db_48,Strandrestaurant Atlantis,https://beachclubatlantis.nl/,The Hague,Netherlands,Unknown,Unknown,,,,,,,4,https://beachclubatlantis.nl/menukaart/; https://beachclubatlantis.nl/menu/; https://beachclubatlantis.nl/menu; https://beachclubatlantis.nl/menukaart,html; html; html; html,0.8914675767918088,483,2025-07-29 20:02:53,database_with_menus,True,2025-08-06T20:04:50.275691
db_85,De Vliethof,https://hikersbay.com/restaurant/netherlands/Restaurant%20De%20Vliethof?lat=52.024205&lon=4.27572&lang=de,The Hague,Netherlands,Unknown,Unknown,,,,,,,14,https://hikersbay.com/hotels/netherlands/amsterdam?lang=de&order=score; https://hikersbay.com/place/netherlands/Sichuan%20Food?lat=52.366557&lon=4.890566&lang=de; https://hikersbay.com/europe/netherlands/hotel/nl/okura.html?lang=de; https://hikersbay.com/place/netherlands/Beatrixpark?lat=52.343238&lon=4.881599&lang=de; https://hikersbay.com/europe/netherlands/hotel/nl/amsterdam-jewel-canal-apartments.html?lang=de; https://hikersbay.com/europe/netherlands/hotel/nl/cozy-private-room-next-to-vondelpark.html?lang=de; https://hikersbay.com/europe/netherlands/hotel/nl/beletageadam.html?lang=de; https://hikersbay.com/europe/netherlands/hotel/nl/residenz-stadslogement.html?lang=de; https://hikersbay.com/europe/netherlands/hotel/nl/de-thuiskamer.html?lang=de; https://hikersbay.com/europe/netherlands/hotel/nl/hof-van-lutten.html?lang=de; https://hikersbay.com/place/netherlands/Bed%20and%20Breakfast%20Amsterdam%20The%20Blue%20Sheep?lat=52.377162&lon=4.891599&lang=de; https://hikersbay.com/northamerica/usa/seattle?lang=de; https://hikersbay.com/hotels/netherlands?lang=de&order=score; https://hikersbay.com/europe/netherlands/hotel/nl/big-exellent-equipped-room.html?lang=de,html; html; html; html; html; html; html; html; html; html; html; html; html; html,,452,2025-07-29 20:02:53,database_with_menus,True,2025-08-06T20:04:50.275694
db_28,Bandu Beach,https://www.bandubeach.nl/,The Hague,Netherlands,Unknown,Unknown,,,,,,,4,https://www.bandubeach.nl/menu/; https://www.bandubeach.nl/menu; https://www.bandubeach.nl/menukaart/; https://www.bandubeach.nl/menukaart,html; html; html; html,0.6803571428571429,421,2025-07-29 20:02:53,database_with_menus,True,2025-08-06T20:04:50.275697
db_26,Olympia,https://www.olympiarijswijk.nl/,The Hague,Netherlands,Unknown,Unknown,,,,,,,3,https://olympiarijswijk.sitedish.shop/#menu; https://olympiarijswijk.sitedish.shop/#categorie2; https://olympiarijswijk.sitedish.shop/#categorie8,html; html; html,0.6901408450704225,418,2025-07-29 20:02:53,database_with_menus,True,2025-08-06T20:04:50.275701
