name,addr_street,addr_housenumber,addr_postcode,addr_city,addr_country,latitude,longitude,website_url,website_effective_url,website_http_status,website_is_valid,website_discovery_method,menu_url,menu_http_status,menu_is_valid,menu_discovery_method
Very Italian Pizza,Kettingstraat,13,2511AM,'s-Gravenhage,,52.0778701,4.3104325,,,,false,,,,false,
Silli,Zeestraat,56C,2518AB,'s-Gravenhage,,52.0847401,4.3030061,,,,false,,,,false,
Shang Hai,,,,,,52.0202982,4.2976779,,,,false,,,,false,
Ariba,Amsterdamse Veerkade,45A,2512AH,'s-Gravenhage,,52.0755124,4.3172177,,,,false,,,,false,
Waterproef B.V.,Dr. Lelykade,25-27,2583CL,'s-Gravenhage,NL,52.0950294,4.2656231,,,,false,,,,false,
La Lanterna,Keizerstraat,30,2584BJ,'s-Gravenhage,NL,52.1061971,4.2737365,https://www.lalanterna.nl/,https://www.lalanterna.nl/,200,true,osm,https://www.lalanterna.nl/menuvestigingen,200,true,nav
Share,Noordeinde,139A,2514GG,'s-Gravenhage,,52.0833656,4.3047454,,,,false,,,,false,
Thai Basil,Keizerstraat,89,2584BC,'s-Gravenhage,NL,52.1055608,4.2742818,,,,false,,,,false,
Los Argentinos,Kettingstraat,14,2511AN,'s-Gravenhage,,52.0780769,4.3100739,,,,false,,,,false,
Kenyan Delicacies,,,,,,52.0815255,4.3258175,https://www.kenyandelicacies.com/,https://www.kenyandelicacies.com/,200,true,osm,https://www.kenyandelicacies.com/,200,true,header
Gauchos,Oude Molstraat,46,2513BB,'s-Gravenhage,,52.0797428,4.3065226,,,,false,,,,false,
FL’Orange,,,,,,52.0920988,4.3580374,,,,false,,,,false,
Dap & Co,Schokkerweg,39,2583BH,'s-Gravenhage,NL,52.0999283,4.2719888,,,,false,,,,false,
Today,Aert van der Goesstraat,42,2582AL,'s-Gravenhage,,52.0879990,4.2774738,,,,false,,,,false,
Restaurant Zebedeus,Rond de Grote Kerk,8,2513AM,'s-Gravenhage,,52.0772325,4.3073529,https://zebedeus.nl/,https://zebedeus.nl/,200,true,osm,https://zebedeus.nl/wp-content/uploads/2025/06/lunchkaartjuni25.pdf,200,true,link_text
De Tapperij,Atjehstraat,66,2585VL,'s-Gravenhage,,52.0933422,4.3056233,,,,false,,,,false,
De Salon van Fagel,Noordeinde,140C,2514GP,'s-Gravenhage,NL,52.0824164,4.3055261,,,,false,,,,false,
Kicking Horse,,,,,,52.0910226,4.2739513,,,,false,,,,false,
Callao,Dr. Lelykade,29,2583CL,'s-Gravenhage,NL,52.0949235,4.2654750,https://www.callao.nl/,https://www.callao.nl/,200,true,osm,https://www.callao.nl/menu/,200,true,header
Ming Dynasty,Spui,170,2511BW,'s-Gravenhage,,52.0765756,4.3175066,,,,false,,,,false,
Zirve Restaurant,Jan van Riebeekstraat,571,2595TZ,'s-Gravenhage,,52.0798560,4.3272016,https://www.zirve-restaurant.nl/,https://www.zirve-restaurant.nl/,200,true,osm,https://www.zirve-restaurant.nl/menu/,200,true,header
Eetcafé Hagedis,Waldeck Pyrmontkade,116,2518JR,'s-Gravenhage,,52.0784108,4.2928326,https://www.restauranthagedis.nl/,https://www.restauranthagedis.nl/,200,true,osm,https://www.restauranthagedis.nl/menu/,200,true,nav
Long Ting,,,,,,52.0748292,4.3142697,,,,false,,,,false,
Sapori D'Italia,,,,,,52.0885581,4.3072414,,,,false,,,,false,
Momiji Sushi,Rabbijn Maarsenplein,1,2512HJ,'s-Gravenhage,,52.0761389,4.3144681,https://momiji-sushi.nl/nl,https://momiji-sushi.nl/nl,200,true,osm,https://momiji-sushi.nl/nl/menu,200,true,nav
Song Phi Nong,,,,,,52.0740235,4.3157097,,,,false,,,,false,
Naga Thai,,,,,,52.0897577,4.2749590,,,,false,,,,false,
Balkan Grill,,,,,,52.0783679,4.3152665,,,,false,,,,false,
Giorgio,,,,,,52.0667206,4.2450194,,,,false,,,,false,
Leopold,,,,,,52.0799652,4.3165294,https://www.caferestaurantleopold.nl/,https://www.caferestaurantleopold.nl/,200,true,osm,,,false,
Kimchi House,,,,,,52.0791222,4.3044736,,,,false,,,,false,
Roti Center Ypenburg,Steentijdsingel,55,2496SG,'s-Gravenhage,,52.0417842,4.3693100,,,,false,,,,false,
India Palace,,,,,,52.1125765,4.2809595,,,,false,,,,false,
Bit Grill and Cafe,,,,,,52.0789787,4.3099113,https://www.bitgrill.nl/,https://www.bitgrill.nl/,200,true,osm,https://www.bitgrill.nl/menu,200,true,header
Umami,Buitenhof,46,2513AH,'s-Gravenhage,,52.0789113,4.3096186,https://umami-restaurant.com/,https://umami-restaurant.com/,200,true,osm,https://umami-restaurant.com/menu/,200,true,header
